pl_name,pl_rade,pl_masse,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_spectype,st_mass,st_lum,st_rad,st_teff
GJ 96 b,,,,,73.94,0.291,M2,0.6,-1.05159,,3785
GJ 9689 b,,,453.04,,18.27,0.1139,M0.5,0.59,-1.2,0.57,3836
GJ 9714 b,,2988.540511,,,19240.75467,12.319,,0.67,,,
GJ 9827 b,1.577,4.91,,,1.2089819,0.0188,,0.606,,0.602,4340
GJ 9827 c,1.24,1.45,771,59,3.64823,0.0429,K6 V,0.637,,0.622,4219
GJ 9827 d,2.022,3.53,681,36,6.20147,0.0559,,0.606,,0.602,4305
GPX-1 b,16.47720163,6261.219618,2300,4650,1.744579,0.0338,F2,1.68,0.72673,1.56,7000
GQ Lup b,51.5614,9852.73,2400,,,,,,,1.94153,4360
GSC 06214-00210 b,,5300,2300,,,320,,0.9,-0.42,,4200
GU Psc b,14.179,3591.3,1050,,,2000,M3,0.325,,,
Gaia-1 b,12.65581119,,1159.07,426.5351,3.052268551,,,,,0.962287,5370
Gaia-2 b,14.81827249,259.6658085,,,3.6915224,0.0467,,1,,1.064,5720
Gaia-4 b,,3750.375203,,,571.3,,,0.644,-0.99957,0.624,4034
